Fecha,Nubes,B02,B03,B04,B08,B05,B06,B07,B11,B12,B01,B09,Estacion
2018-08-27T11:06:38Z,0,897,1088,1824,2634,1455,1744,1928,2170,1603,533,2350,11
2018-08-15T11:18:26Z,0,716,962,1222,2138,1210,1823,1770,1848,1459,436,1983,11
2018-08-30T11:14:49Z,0.18,769,878,1632,2018,1334,1705,1597,1847,1474,453,2065,11
2018-08-20T11:14:59Z,0,698,785,1658,2054,1271,1700,1639,1780,1322,433,2162,11
2018-01-22T11:13:42Z,6.21,553,692,1385,1750,849,1389,1326,1385,1074,293,945,11
2018-02-18T11:05:29Z,4.18,744,959,1594,2289,1284,1470,2032,1876,1327,393,1435,11
2018-01-27T11:13:22Z,7.1,519,558,1128,1215,874,1088,1073,1134,905,369,732,11
2017-04-12T11:17:08Z,0,588,603,887,1463,1028,1360,1343,1713,1297,567,1633,11
2017-06-01T11:12:25Z,1.04,501,681,818,1540,1165,1445,1759,1775,1481,582,2270,11
2018-07-03T10:59:38Z,0.06,844,1211,1711,2915,1406,1970,2256,2418,1789,625,2731,11
2018-08-10T11:17:43Z,2.95,744,780,1376,1774,1226,1648,1589,1736,1368,440,2037,11
2017-05-19T11:05:30Z,0.27,691,833,1000,2049,1513,1983,2205,2249,1818,618,2749,11
2018-08-12T10:58:40Z,2.02,868,1127,1934,2768,1600,2199,2101,2231,1773,609,2462,11
2018-01-17T11:14:03Z,0.01,483,544,1001,1281,838,1048,927,1271,924,449,1013,11
2018-07-08T11:02:15Z,0.1,983,1200,1481,2210,1589,1870,1947,2337,1769,669,2699,11
2018-01-19T11:08:40Z,0,449,695,1160,1747,1012,1164,1577,1585,1117,173,1187,11
2018-02-08T11:02:11Z,0.23,586,787,1839,2202,1274,1683,1602,1581,1240,396,1228,11
2018-10-06T11:00:30Z,9.38,759,827,1022,1406,1181,1523,1926,1639,1230,463,2026,11
2017-04-09T11:05:29Z,0,891,991,1162,1846,1481,1826,2001,1954,1661,805,1913,11
2018-10-09T11:18:54Z,6.27,612,652,945,1232,1035,1357,1488,1481,1006,340,1741,11
2018-12-30T11:10:00Z,0,548,799,1096,1764,921,1446,1087,1254,1034,392,1325,11
2018-08-07T10:59:12Z,1.38,950,1134,1482,2178,1613,1904,2175,2163,1608,714,2412,11
2019-02-26T11:34:02Z,0,701,772,1404,1638,1111,1336,1313,1417,1230,453,1220,11
2018-07-16T11:10:23Z,1.22,409,655,1030,1914,1037,1508,1639,1817,1465,447,2302,11
2018-08-25T11:16:24Z,0,634,770,1040,2170,1271,1695,1783,1762,1336,486,1898,11
